product_name,sku,price,Sale_price,photos,video,name,name-link,name2,name2link,name3,name3link
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A00040),AidraF0004004012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00040.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A00044),AidraF0004404012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00044.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A00050),AidraF0005004012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00050.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A00051),AidraF0005104012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00051.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A00052),AidraF0005204012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00052.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A00058),AidraF0005804012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00058.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A00059),AidraF0005904012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00059.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A0006),AidraF000604012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0006.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A00060),AidraF0006004012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00060.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A0007),AidraF000704012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0007.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A0008),AidraF000804012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0008.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
Aidra Fox & Jon B & Lena Pail signed model 8x10 (A0009),AidraF000904012023rc3,139.95,99.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0009.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B,Lena Pail,Lena-Pail
John Fox & Aidra Fox & Jon B signed model 8x10 (A00010),JohnF0001004012023rc3,139.95,99.95,John_Fox_Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00010.jpg|John_Fox_Proof.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/John_Fox_Signing_Autographs_Video.mp4""][/video]",John Fox,John-Fox,Aidra Fox,Aidra-Fox,Jon B,Jon-B
John Fox & Aidra Fox & Jon B signed model 8x10 (A00012),JohnF0001204012023rc3,139.95,99.95,John_Fox_Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00012.jpg|John_Fox_Proof.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/John_Fox_Signing_Autographs_Video.mp4""][/video]",John Fox,John-Fox,Aidra Fox,Aidra-Fox,Jon B,Jon-B
