product_name,sku,price,Sale_price,photos,video,name,name-link,name2,name2link
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A00051),AidraF0005109022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00051.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A00052),AidraF0005209022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00052.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A00058),AidraF0005809022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00058.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A00059),AidraF0005909022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00059.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A0006),AidraF000609022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0006.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A00060),AidraF0006009022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00060.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A0007),AidraF000709022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0007.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A0008),AidraF000809022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0008.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
Aidra Fox & Jon B & Lena Pail signed model 8x10 Photo -PROOF- (A0009),AidraF000909022023rc,94.95,74.95,Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_0009.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg|Lena_Pail_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/Aidra_Fox_Signing_Autographs_Video.mp4""][/video]",Aidra Fox,Aidra-Fox,Jon B,Jon-B
John Fox & Aidra Fox & Jon B signed model 8x10 Photo -PROOF- (A00010),JohnF0001009022023rc,94.95,74.95,John_Fox_Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00010.jpg|John_Fox_Proof.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/John_Fox_Signing_Autographs_Video.mp4""][/video]",John Fox,John-Fox,Aidra Fox,Aidra-Fox
John Fox & Aidra Fox & Jon B signed model 8x10 Photo -PROOF- (A00012),JohnF0001209022023rc,94.95,74.95,John_Fox_Aidra_Fox_Jon_B_Lena_Pail_signed_Rp_00012.jpg|John_Fox_Proof.jpg|Aidra_Fox_Proof.jpg|Jon_B_Proof.jpg,"[video width=""360"" height=""640"" mp4=""https://stalicali.com/wp-content/uploads/wpallimport/files/John_Fox_Signing_Autographs_Video.mp4""][/video]",John Fox,John-Fox,Aidra Fox,Aidra-Fox
